,temperature,x,y
52,7.1,852433.6761681057,5876865.023106546
53,11.2,681526.6430650455,5820265.846781348
54,6.3,948818.989354517,5941433.9257015465
55,9.5,911728.2255781244,5917540.379938606
56,11.6,1009322.6910735322,5947720.7262376165
57,-6.4,866704.8348878034,5777726.784847079
58,8.4,825446.0467371292,5971355.104111863
59,-1.9,927653.8145699919,5872440.901600047
60,16.5,1020101.5347280634,5821305.486303356
61,2.5,872387.3609343275,5811702.573297585
62,7.3,956831.543662835,5892054.777223309
63,8.8,887627.8897798529,6001544.924636177
64,-2.1,959076.5238336631,5885532.48696449
65,11.2,1032978.9734230291,6040846.854153421
66,12.1,942928.6298186814,6056639.136674624
67,5.5,995376.2513084785,6002813.108360686
68,12.3,1025848.403440266,5905431.7038580375
69,8.6,876099.8659522833,5888736.9739780305
70,-11.1,888896.9319748963,5868529.336673357
71,6.1,846639.4966723158,5961494.549008775
72,5.0,735535.8543716904,5938831.548724377
73,6.1,756109.47738214,5955623.168681999
74,-1.3,678992.9001350998,5848682.495097888
75,9.5,986144.4146175015,5971372.7918524
76,7.8,869009.1483472241,5932224.897664806
77,-1.4,781214.4715848208,5868309.857549094
78,9.9,911513.9355583474,6040113.043534883
79,-5.7,809142.7507130002,5796246.077479216
80,4.2,702696.2706292022,5888399.373872158
81,-7.5,801921.2327062591,5832866.6454744
82,6.8,781084.0051416109,5799424.026117609
83,15.5,978218.4668730203,5807990.196173467
84,13.7,997435.6618881541,5780963.482470462
85,8.2,924058.7516148229,5948020.280808001
86,5.4,934774.4771180742,6021095.665185001
87,15.9,994484.693506715,5806029.563433685
88,8.6,786997.2964925496,5886189.314635566
89,10.3,731144.5230988773,5899247.364996891
90,0.6,993497.734901342,5846313.844505285
91,8.1,909397.9746773489,5898466.285661807
92,8.7,804313.5998828975,5791737.377937007
93,4.2,830528.1154503146,5828357.596050068
94,3.5,1003865.2530373918,5768753.370272796
95,-4.9,869914.5097658457,5773401.548905946
96,8.3,916473.2188731876,5981965.038634792
97,1.9,848701.9128782427,5804090.575161999
98,8.2,876965.0410347285,6035976.47545477
99,9.2,810201.5103899352,5937708.394644459
100,-2.6,1142293.8228260975,5912281.479592254
101,1.8,883882.6568316042,5942831.79789813
102,10.9,774016.2193516552,5942073.09307845
103,8.9,693259.7173946565,5844852.345367947
104,11.2,1070081.5370654454,6003764.203530628
105,7.3,763455.6732185697,5872534.012921302
106,0.4,1115373.0964090878,5846161.274160723
107,8.8,772825.3234391488,5911372.8542772615
108,-2.6,918644.2829021289,5938626.12667845
109,13.6,967156.0924754387,5863229.541682879
110,-8.1,1093311.1318067322,5847596.508625408
111,-5.1,1060823.9855720953,5873330.276485275
112,3.7,808875.249976624,5900988.111773115
113,9.6,1120204.0283510431,5836162.942976918
114,10.4,742218.3634040107,5862825.630740744
115,4.3,947706.1284050565,5851637.540904225
116,6.5,877126.4542963788,6013295.38296964
117,6.8,1022429.8931974954,5854945.396932626
118,9.4,1004537.1774838201,6049027.822753988
119,4.8,1099770.6678989932,5865084.988203314
120,4.8,961462.7684383076,5955315.832812752
121,11.9,959581.135085429,6055403.385246647
122,10.2,1076245.1859511784,5938076.944229601
123,7.3,891940.9634506386,5933433.280418302
124,6.6,1144720.9216838633,5908395.840042738
125,3.1,1086737.0479584443,5849903.319973316
126,4.8,896827.2211795184,5811946.861192933
127,12.6,814333.5785686907,5815271.230832
128,5.8,855723.3897600285,6035905.525437493
129,9.1,1046231.8927604407,6011797.937626195
130,8.2,1160650.7408163808,5877382.995500999
131,13.3,994351.1101177633,5755290.334791889
132,-4.5,1040097.854859259,5982884.332605502
133,8.7,844383.0505939362,5901329.771510473
134,-8.2,937957.3239988356,5904694.930483303
135,4.1,945127.5237203211,5999615.3928220775
136,4.0,924858.6934756634,5861625.16879472
137,12.5,1059484.8120978524,5962901.53405976
138,2.6,1063594.6163784491,5902180.485816954
139,8.1,1022882.6295665515,5881524.9576854035
140,10.4,758652.793788294,5856198.447713434
141,10.2,1071761.7934594792,5837102.365118373
142,7.1,746961.4642677304,5880555.656029158
143,11.4,873067.9683010377,5829018.708177706
144,-5.7,1091642.786598213,5914910.778520353
145,7.4,866890.6271179373,5983799.459624761
146,7.7,965990.3547678515,5978210.816377566
147,10.9,915819.2168647771,6030084.328780959
148,1.7,862992.8864673018,5785039.556563531
149,8.7,948207.0661136262,6012162.072762202
150,7.7,953533.0358311395,6003973.800407989
151,8.6,950212.3754207761,6020708.588857661
